Place	Category	One Person	Plural	One thing
Africa	ethnic	African	Africans	African
Arabia	ethnic	Arab	Arabs	Arabian
Arabia	ethnic	Arab	Arabians	Arabian
Arianism	heretics	Arian	Arians	Arian
Armenia	ethnic	Armenian	Armenians	Armenian
Asia	ethnic	Asiatic	Asiatics	Asiatic
Athens	ethnic	Athenian	Athenians	Athenian
Augustus	Augustus	Augustan		Augustan
	ethnic	Avar	Avars	Avar
	ethnic	Barbarian	Barbarians	Barbarian
Babylon	ethnic	Babylonian	Babylonians	Babylonian
Britain	ethnic	Briton	Britons	British
Bulgaria	ethnic	Bulgarian	Bulgarians	Bulgarian
Burgundy	ethnic	Burgundian	Burgundians	Burgundian
Cappadocia	ethnic	Cappadocian	Cappadocians	Cappadocian
Constantinople	ethnic	Byzantine	Byzantines	Byzantine
China	ethnic	Chinese	Chinese	Chinese
	religion	Christian	Christians	Christian
Egypt	ethnic	Egyptian	Egyptian	Egyptian
England	ethnic	English	English	English
Europe	ethnic	European	Europeans	European
Flanders	ethnic	Flemish	Flemish People	Flemish
France	ethnic	French	French	French
Gaul	ethnic	Gaul	Gauls	Gallic
Genoa	ethnic	Genoese	Genoese	Genoese
Germany	ethnic	German	Germans	German
	ethnic	Goth	Goths	Gothic
Greece	ethnic	Greek	Greeks	Grecian
	ethnic	Hun	Huns	Hunnic
Hungary	ethnic	Hungarian	Hungarians	Hungarian
Illyria	ethnic	Illyrian	Illyrians	Illyrian
India	ethnic	Indian	Indians	Indian
Italy	ethnic	Italian	Italian	Italian
Isauria	ethnic	Isaurian	Isauria	Isaurian
	religion	Jew	Jews	Jewish
	ethnic	Latin	Latins	Latin
	ethnic	Mahometan	Mahometans	Mahometan
	ethnic	Mahometan	Mahometans	Mahometan
Manichaeanism	heretics	Manichaean	Manichaeans	Manichaean
	ethnic	Mogul	Moguls	Mogul
	ethnic	Moor	Moors	Moorish
	religion	Moslem	Moslems	Moslem
	religion	Musulman	Musulmans	Musulman
	ethnic	Norman	Normans	Normans
	ethnic	Oriental	Orientals	Oriental
	ethnic	Oriental	Orientals	Oriental
	ethnic	Ottoman	Ottomans	Ottoman
	ethnic	Ostrogoth	Ostrogoths	Ostrogothic
Parthia	ethnic	Parthian	Parthians	Parthian
Persia	ethnic	Persian	Persians	Persian
Rome	ethnic	Roman	Romans	Roman
Russia	ethnic	Russian	Russians	Russian
	ethnic	Saracen	Saracens	Saracen
Sarmatia	ethnic	Sarmatian	Sarmatians	Sarmatian
	ethnic	Saxon	Saxons	Saxon
Scythia	ethnic	Scythian	Scythians	Scythian
Sicily	ethnic	Sicilian	Sicilians	Sicilian
Spain	ethnic	Spaniard	Spaniards	Spanish
Syria	ethnic	Syrian	Syrians	Syrian
Tartary	ethnic	Tartar	Tartars	Tartar
	ethnic	Turkish	Turks	Turkish
	ethnic	Turkman	Turkmans	Turkman
Venice	ethnic	Venetian	Venetians	Venetian
	ethnic	Visigoth	Visigoths	Visigothic